Time,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,Total
2026-01-31 23:45:10,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,327.6,309.54,712.89,361.75,570.71,496.02,674.68,665.14,673.04,651.12,678.76,876.64,18997.89
2026-01-31 23:58:02,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,208.88,211.67,678.81,258.35,489.19,412.31,614.32,607.38,615.59,587.23,635.66,834.85,18154.23
2026-02-01 02:23:26,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,468.31,392.11,888.89,434.83,722.51,675.15,725.78,719.55,728.44,774.15,903.69,1080.68,20514.1
2026-02-01 04:40:58,1000.0,1000.0,999.11,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,538.72,366.96,937.31,391.6,728.14,681.22,637.87,644.99,661.4,717.14,958.95,1127.58,20391.01
2026-02-01 05:50:12,1000.0,1000.0,969.9,1000.0,995.35,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,365.2,205.99,917.7,241.66,586.5,546.37,581.51,583.03,610.29,670.58,879.39,1057.73,19211.19
2026-02-01 06:45:07,1000.0,1000.0,974.54,1000.0,964.81,974.04,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,348.26,249.17,935.39,281.56,624.68,579.48,618.41,619.85,638.67,688.18,905.7,1069.04,19471.79
2026-02-01 06:50:52,1000.0,1000.0,978.14,1000.0,979.41,991.74,1016.97,1000.0,1000.0,1000.0,1000.0,1000.0,340.2,247.82,939.29,281.78,619.9,575.68,622.9,623.54,640.63,690.55,905.02,1066.72,19520.29
2026-02-01 07:28:47,1000.0,1000.0,962.06,1000.0,969.57,994.19,1028.79,1000.0,1000.0,1000.0,1000.0,1000.0,355.04,261.51,928.05,284.55,600.44,576.0,630.26,617.47,623.91,679.84,907.72,1068.96,19488.38
2026-02-01 07:57:29,1000.0,1000.0,973.15,1000.0,988.04,1026.65,1047.61,1027.39,1000.0,1000.0,1000.0,1000.0,354.62,260.72,921.56,287.48,607.54,572.21,619.65,612.11,616.52,670.77,899.48,1061.25,19546.73
2026-02-01 08:29:30,1000.0,1000.0,939.3,1000.0,976.75,1035.7,1045.62,1021.42,1000.0,1000.0,1000.0,1000.0,251.54,139.03,886.34,182.51,519.79,464.74,534.79,523.03,539.08,595.33,826.69,986.35,18468.02
2026-02-01 08:58:59,1000.0,1000.0,872.35,1000.0,872.72,946.17,945.2,939.86,957.02,1000.0,1000.0,1000.0,116.84,0.0,870.71,0.0,433.71,374.73,472.34,462.24,472.67,534.43,709.74,906.25,16886.97
